#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|
  Threefish_OFB|  6.36e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment|    Seed  
      rgb_lagged_sum|   8|   1000000|    1000|0.25028292|  PASSED  |         1
      rgb_lagged_sum|   9|   1000000|    1000|0.79029938|  PASSED  |         1
      rgb_lagged_sum|  10|   1000000|    1000|0.24617498|  PASSED  |         1
      rgb_lagged_sum|  11|   1000000|    1000|0.96454030|  PASSED  |         1
      rgb_lagged_sum|  12|   1000000|    1000|0.80131447|  PASSED  |         1
      rgb_lagged_sum|  13|   1000000|    1000|0.13024539|  PASSED  |         1
      rgb_lagged_sum|  14|   1000000|    1000|0.64854730|  PASSED  |         1
      rgb_lagged_sum|  15|   1000000|    1000|0.71462986|  PASSED  |         1
      rgb_lagged_sum|  16|   1000000|    1000|0.61438070|  PASSED  |         1
      rgb_lagged_sum|  17|   1000000|    1000|0.60875818|  PASSED  |         1
      rgb_lagged_sum|  18|   1000000|    1000|0.99278800|  PASSED  |         1
      rgb_lagged_sum|  19|   1000000|    1000|0.81860340|  PASSED  |         1
      rgb_lagged_sum|  20|   1000000|    1000|0.17022313|  PASSED  |         1
      rgb_lagged_sum|  21|   1000000|    1000|0.91030319|  PASSED  |         1
      rgb_lagged_sum|  22|   1000000|    1000|0.76849439|  PASSED  |         1
      rgb_lagged_sum|  23|   1000000|    1000|0.40457828|  PASSED  |         1
      rgb_lagged_sum|  24|   1000000|    1000|0.51496147|  PASSED  |         1
      rgb_lagged_sum|  25|   1000000|    1000|0.56213773|  PASSED  |         1
      rgb_lagged_sum|  26|   1000000|    1000|0.56362731|  PASSED  |         1
      rgb_lagged_sum|  27|   1000000|    1000|0.84540798|  PASSED  |         1
      rgb_lagged_sum|  28|   1000000|    1000|0.04658867|  PASSED  |         1
      rgb_lagged_sum|  29|   1000000|    1000|0.52726812|  PASSED  |         1
      rgb_lagged_sum|  30|   1000000|    1000|0.57043453|  PASSED  |         1
      rgb_lagged_sum|  31|   1000000|    1000|0.91330883|  PASSED  |         1
      rgb_lagged_sum|  32|   1000000|    1000|0.07013423|  PASSED  |         1
     rgb_kstest_test|   0|     10000|   10000|0.08029198|  PASSED  |         1
     dab_bytedistrib|   0|  51200000|      10|0.86692907|  PASSED  |         1
             dab_dct| 256|     50000|      10|0.50387195|  PASSED  |         1
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|      10|0.13368828|  PASSED  |         1
        dab_filltree|  32|  15000000|      10|0.71583972|  PASSED  |         1
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|      10|0.99633217|   WEAK   |         1
       dab_filltree2|   1|   5000000|      10|0.99958266|   WEAK   |         1
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|      10|0.88511509|  PASSED  |         1
